id,category,title,brand,price_raw,price_numeric,currency,unit,moq,supplier_name,location,rating,num_reviews,lead_time_days,product_url,listed_at,description,price_per_moq
P000011,Textiles,PrimeTextiles Cotton Fabric Plain,PrimeTextiles,"INR 3,738.0 per pack",3738.0,INR,pack,100,PrimeTextiles (and Sons),"Hyderabad, Telangana",4.8,51,7,https://example.com/textiles/11,2025-06-28T20:41:46.988008,Id perferendis fuga tempore iste dolorum aperiam accusantium mollitia nihil ab.,37.38
P000012,Electronics,OmniPack Industrial Motor M-031,OmniPack,"INR 24,930.0 per piece",24930.0,INR,piece,1,OmniPack (Inc),"Chennai, Tamil Nadu",4.3,101,14,https://example.com/electronics/12,2024-12-17T20:41:46.988066,Architecto dolores pariatur distinctio consequatur vel necessitatibus labore quos rem deleniti atque.,24930.0
P000013,Industrial Machinery,Vijay Industries Hydraulic Press Model 65BA,Vijay Industries,"INR 221,700.0 per pack",221700.0,INR,pack,2,Vijay Industries (Group),"Pune, Maharashtra",4.9,110,1,https://example.com/industrial-machinery/13,2024-11-04T20:41:46.988135,Perferendis voluptates atque illo excepturi similique dolorum.,110850.0
P000014,Construction Equipment,Metro Components Product P-387,Metro Components,"INR 68,490.0 per kg",68490.0,INR,kg,50,Metro Components (and Sons),"Ahmedabad, Gujarat",3.4,55,3,https://example.com/construction-equipment/14,2025-02-28T20:41:46.988195,Delectus iure soluta asperiores repellat sequi atque officiis molestiae accusamus at quidem dolores.,1369.8
P000015,Industrial Machinery,GigaElectro Hydraulic Press Model 67En,GigaElectro,"INR 487,300.0 per pack",487300.0,INR,pack,1,GigaElectro (Group),"Delhi, Delhi",4.8,38,30,https://example.com/industrial-machinery/15,2024-12-11T20:41:46.988274,Cum a hic unde quos eligendi possimus quas.,487300.0
P000016,Electronics,PrimeTextiles Industrial Motor M-872,PrimeTextiles,"INR 19,010.0 per pack",19010.0,INR,pack,5,PrimeTextiles (and Sons),"Faridabad, Haryana",4.9,76,7,https://example.com/electronics/16,2025-02-10T20:41:46.988343,Dolor animi quasi aperiam et amet labore ullam minus animi magni.,3802.0
P000017,Industrial Machinery,Metro Components Hydraulic Press Model 21Me,Metro Components,"INR 468,100.0 per set",468100.0,INR,set,1,Metro Components (Ltd),"Mumbai, Maharashtra",3.6,72,1,https://example.com/industrial-machinery/17,2025-09-05T20:41:46.988393,Illo velit necessitatibus neque aliquam aspernatur omnis natus et ea.,468100.0
P000018,Construction Equipment,Mahadev Works Product P-534,Mahadev Works,"INR 81,790.0 per set",81790.0,INR,set,50,Mahadev Works (Group),"Chennai, Tamil Nadu",4.4,70,3,https://example.com/construction-equipment/18,2025-06-05T20:41:46.988438,Perferendis error et quibusdam asperiores itaque voluptatum voluptatum asperiores.,1635.8
P000019,Packaging,RoboMach Corrugated Box Double Wall,RoboMach,"INR 1,929.0 per set",1929.0,INR,set,1000,RoboMach (and Sons),"Pune, Maharashtra",3.9,85,7,https://example.com/packaging/19,2025-03-08T20:41:46.988470,Eaque ut sunt sunt fuga culpa rerum provident nostrum voluptates omnis ab repellendus error.,1.929
P000020,Packaging,Mahadev Works Corrugated Box Single Wall,Mahadev Works,INR 503.0 per kg,503.0,INR,kg,100,Mahadev Works (Ltd),"Mumbai, Maharashtra",4.3,29,30,https://example.com/packaging/20,2025-06-28T20:41:46.988500,Vel consequatur blanditiis autem mollitia earum non quaerat.,5.03
P000021,Industrial Machinery,Metro Components Hydraulic Press Model 34GF,Metro Components,"INR 368,500.0 per set",368500.0,INR,set,1,Metro Components (LLC),"Delhi, Delhi",4.8,110,7,https://example.com/industrial-machinery/21,2025-09-12T20:41:46.988545,At incidunt eius a quo odio ea.,368500.0
P000022,Packaging,Nova Chemicals Corrugated Box Double Wall,Nova Chemicals,"INR 1,341.0 per pack",1341.0,INR,pack,100,Nova Chemicals (Ltd),"Chennai, Tamil Nadu",4.5,112,30,https://example.com/packaging/22,2024-12-27T20:41:46.988575,Mollitia incidunt ab asperiores sunt temporibus molestias rerum nesciunt corporis consectetur est tempore.,13.41
P000023,Chemical Supplies,Nova Chemicals Industrial Solvent S-053,Nova Chemicals,"INR 157,350.0 per set",157350.0,INR,set,5,Nova Chemicals (Ltd),"Delhi, Delhi",3.4,55,7,https://example.com/chemical-supplies/23,2025-03-16T20:41:46.988618,Pariatur explicabo nam soluta voluptate quibusdam unde dolores cum reiciendis.,31470.0
P000024,Chemical Supplies,Mahadev Works Industrial Solvent S-260,Mahadev Works,"INR 173,040.0 per piece",173040.0,INR,piece,1,Mahadev Works (and Sons),"Mumbai, Maharashtra",3.9,43,1,https://example.com/chemical-supplies/24,2025-06-13T20:41:46.988661,Quos illum pariatur quasi dolorum culpa praesentium fugit aliquam iusto dicta ullam.,173040.0
P000025,Electronics,Nova Chemicals Industrial Motor M-543,Nova Chemicals,"INR 27,050.0 per meter",27050.0,INR,meter,5,Nova Chemicals (and Sons),"Chennai, Tamil Nadu",3.7,31,1,https://example.com/electronics/25,2025-03-06T20:41:46.988707,Optio id eius architecto quo expedita magni.,5410.0
P000026,Packaging,Metro Components Corrugated Box Single Wall,Metro Components,"INR 1,308.0 per piece",1308.0,INR,piece,1000,Metro Components (Ltd),"Delhi, Delhi",4.9,108,3,https://example.com/packaging/26,2025-07-25T20:41:46.988741,Ex adipisci soluta ea neque voluptates alias nisi exercitationem ratione ipsa voluptates blanditiis tempore deleniti.,1.308
P000027,Chemical Supplies,Mahadev Works Industrial Solvent S-060,Mahadev Works,"INR 97,310.0 per piece",97310.0,INR,piece,5,Mahadev Works (PLC),"Chennai, Tamil Nadu",3.9,49,7,https://example.com/chemical-supplies/27,2025-02-28T20:41:46.988782,Porro velit qui deserunt inventore veniam ullam numquam optio commodi tempore magni pariatur eveniet possimus.,19462.0
P000028,Textiles,Vijay Industries Cotton Fabric Knitted,Vijay Industries,"INR 4,789.0 per set",4789.0,INR,set,500,Vijay Industries (PLC),"Bengaluru, Karnataka",3.7,7,30,https://example.com/textiles/28,2025-01-14T20:41:46.989078,Deleniti pariatur fugit quibusdam cupiditate necessitatibus illo rerum esse.,9.578
P000029,Industrial Machinery,Suresh Fabrics Hydraulic Press Model 36YL,Suresh Fabrics,"INR 75,700.0 per meter",75700.0,INR,meter,5,Suresh Fabrics (PLC),"Faridabad, Haryana",4.9,67,3,https://example.com/industrial-machinery/29,2025-09-19T20:41:46.989136,Iure ipsam distinctio labore temporibus recusandae cumque assumenda maiores odio excepturi repellendus.,15140.0
P000030,Packaging,Metro Components Corrugated Box Single Wall,Metro Components,INR 146.0 per set,146.0,INR,set,100,Metro Components (and Sons),"Hyderabad, Telangana",3.4,113,30,https://example.com/packaging/30,2025-06-14T20:41:46.989171,Dolore dicta ad doloribus labore sed asperiores impedit occaecati deserunt possimus.,1.46
P000031,Packaging,RoboMach Corrugated Box Single Wall,RoboMach,"INR 1,243.0 per pack",1243.0,INR,pack,500,RoboMach (Group),"Surat, Gujarat",4.1,119,7,https://example.com/packaging/31,2025-07-06T20:41:46.989202,Doloribus omnis ab quibusdam quo autem incidunt debitis vero maxime amet dolorum sed.,2.486
P000032,Construction Equipment,Suresh Fabrics Product P-727,Suresh Fabrics,"INR 24,630.0 per set",24630.0,INR,set,10,Suresh Fabrics (Ltd),"Pune, Maharashtra",4.0,118,1,https://example.com/construction-equipment/32,2025-10-14T20:41:46.989245,Voluptates nisi veniam tempora nostrum quaerat magnam rerum molestias tempore quia labore ea doloribus odit.,2463.0
P000033,Chemical Supplies,RoboMach Industrial Solvent S-873,RoboMach,"INR 199,690.0 per piece",199690.0,INR,piece,1,RoboMach (LLC),"Faridabad, Haryana",3.6,33,3,https://example.com/chemical-supplies/33,2025-04-23T20:41:46.989297,Aspernatur enim earum eum molestiae consequuntur doloremque possimus provident aperiam illum molestiae impedit.,199690.0
P000034,Industrial Machinery,Nova Chemicals Hydraulic Press Model 36yX,Nova Chemicals,"INR 216,300.0 per meter",216300.0,INR,meter,1,Nova Chemicals (PLC),"Faridabad, Haryana",4.5,78,30,https://example.com/industrial-machinery/34,2025-10-14T20:41:46.989349,Sequi quisquam fugit ab explicabo quidem sequi.,216300.0
P000035,Construction Equipment,OmniPack Product P-688,OmniPack,"INR 30,640.0 per piece",30640.0,INR,piece,50,OmniPack (PLC),"Chennai, Tamil Nadu",3.7,113,1,https://example.com/construction-equipment/35,2025-01-08T20:41:46.989396,Laborum earum laborum harum pariatur reiciendis quam saepe ullam voluptatem.,612.8
P000036,Electronics,GigaElectro Industrial Motor M-806,GigaElectro,"INR 14,450.0 per kg",14450.0,INR,kg,5,GigaElectro (PLC),"Bengaluru, Karnataka",4.4,109,7,https://example.com/electronics/36,2025-02-02T20:41:46.989438,Optio assumenda inventore sint delectus ea eveniet iste excepturi sunt eius veritatis in rerum iusto.,2890.0
P000037,Chemical Supplies,GigaElectro Industrial Solvent S-805,GigaElectro,"INR 181,260.0 per piece",181260.0,INR,piece,1,GigaElectro (and Sons),"Hyderabad, Telangana",4.7,5,1,https://example.com/chemical-supplies/37,2025-05-01T20:41:46.989481,Quos officiis quidem veniam dicta accusantium corrupti commodi.,181260.0
P000038,Electronics,GigaElectro Industrial Motor M-193,GigaElectro,"INR 8,500.0 per pack",8500.0,INR,pack,50,GigaElectro (Group),"Hyderabad, Telangana",4.2,14,1,https://example.com/electronics/38,2024-10-30T20:41:46.989523,Quisquam cumque non quibusdam beatae reprehenderit vitae autem ad est perspiciatis.,170.0
P000039,Electronics,OmniPack Industrial Motor M-663,OmniPack,"INR 2,280.0 per pack",2280.0,INR,pack,10,OmniPack (Inc),"Faridabad, Haryana",3.5,16,1,https://example.com/electronics/39,2025-05-14T20:41:46.989564,Porro occaecati aut quo sed nobis commodi voluptates quos expedita incidunt fuga magni exercitationem sed reprehenderit.,228.0
P000040,Textiles,Apex Engineering Cotton Fabric Printed,Apex Engineering,"INR 1,090.0 per piece",1090.0,INR,piece,50,Apex Engineering (Inc),"Ahmedabad, Gujarat",4.6,113,14,https://example.com/textiles/40,2024-12-05T20:41:46.989597,Vero odio repudiandae provident ipsa quasi vitae earum repellat modi laboriosam ipsa quasi.,21.8
P000041,Construction Equipment,PrimeTextiles Product P-453,PrimeTextiles,"INR 92,650.0 per set",92650.0,INR,set,1,PrimeTextiles (Inc),"Chennai, Tamil Nadu",4.8,3,3,https://example.com/construction-equipment/41,2025-05-01T20:41:46.989641,Sunt doloribus iure nostrum fugiat adipisci sed delectus distinctio reiciendis excepturi.,92650.0
P000042,Chemical Supplies,Nova Chemicals Industrial Solvent S-948,Nova Chemicals,"INR 54,830.0 per piece",54830.0,INR,piece,10,Nova Chemicals (Inc),"Hyderabad, Telangana",4.8,109,14,https://example.com/chemical-supplies/42,2025-06-27T20:41:46.989687,Veniam assumenda quam laborum quidem porro officia laudantium recusandae at dolore porro esse neque labore.,5483.0
P000043,Electronics,Mahadev Works Industrial Motor M-856,Mahadev Works,"INR 17,810.0 per set",17810.0,INR,set,5,Mahadev Works (Ltd),"Mumbai, Maharashtra",4.4,51,7,https://example.com/electronics/43,2025-05-29T20:41:46.989729,Ex praesentium earum dolorum blanditiis deserunt blanditiis modi quis delectus dolor laborum quam voluptate minima.,3562.0
P000044,Industrial Machinery,GigaElectro Hydraulic Press Model 41ms,GigaElectro,"INR 208,000.0 per meter",208000.0,INR,meter,5,GigaElectro (and Sons),"Faridabad, Haryana",3.8,3,1,https://example.com/industrial-machinery/44,2025-06-07T20:41:46.989781,Debitis accusamus modi earum voluptate mollitia possimus commodi sit laudantium sit nemo.,41600.0
P000045,Electronics,RoboMach Industrial Motor M-777,RoboMach,"INR 48,150.0 per piece",48150.0,INR,piece,10,RoboMach (LLC),"Delhi, Delhi",4.3,44,7,https://example.com/electronics/45,2025-03-09T20:41:46.989829,Vitae dolorum similique beatae aperiam laudantium neque placeat corrupti.,4815.0
P000046,Packaging,OmniPack Corrugated Box Single Wall,OmniPack,INR 777.0 per set,777.0,INR,set,1000,OmniPack (PLC),"Pune, Maharashtra",3.3,55,1,https://example.com/packaging/46,2025-01-25T20:41:46.989861,Assumenda dolorum nam impedit nisi nulla quod fugit tenetur error nihil.,0.777
P000047,Packaging,Nova Chemicals Corrugated Box Double Wall,Nova Chemicals,INR 868.0 per kg,868.0,INR,kg,1000,Nova Chemicals (Group),"Surat, Gujarat",3.8,108,1,https://example.com/packaging/47,2025-05-18T20:41:46.989895,Necessitatibus animi vero aut quis numquam eaque aspernatur dolores mollitia culpa.,0.868
P000048,Packaging,GigaElectro Corrugated Box Double Wall,GigaElectro,INR 659.0 per kg,659.0,INR,kg,1000,GigaElectro (Group),"Faridabad, Haryana",3.4,53,14,https://example.com/packaging/48,2024-11-06T20:41:46.989926,Porro iusto adipisci enim eligendi similique architecto doloremque eaque recusandae nihil rem dicta beatae.,0.659
P000049,Construction Equipment,PrimeTextiles Product P-324,PrimeTextiles,"INR 61,940.0 per meter",61940.0,INR,meter,10,PrimeTextiles (and Sons),"Faridabad, Haryana",4.7,38,7,https://example.com/construction-equipment/49,2025-07-03T20:41:46.989967,Animi recusandae nisi repudiandae ullam ipsa iusto esse.,6194.0
P000050,Chemical Supplies,RoboMach Industrial Solvent S-648,RoboMach,"INR 122,120.0 per meter",122120.0,INR,meter,5,RoboMach (PLC),"Kolkata, West Bengal",4.0,27,30,https://example.com/chemical-supplies/50,2025-02-18T20:41:46.990012,Ipsa nisi suscipit quasi nobis ad dolorem perferendis similique nesciunt accusantium quisquam reprehenderit nemo.,24424.0
P000051,Construction Equipment,PrimeTextiles Product P-278,PrimeTextiles,"INR 66,230.0 per pack",66230.0,INR,pack,10,PrimeTextiles (Ltd),"Surat, Gujarat",3.8,104,3,https://example.com/construction-equipment/51,2024-11-08T20:41:46.990059,Totam delectus nesciunt odio laudantium at expedita ex pariatur similique ex possimus enim.,6623.0
P000052,Textiles,Nova Chemicals Cotton Fabric Plain,Nova Chemicals,INR 779.0 per set,779.0,INR,set,10,Nova Chemicals (Group),"Kolkata, West Bengal",4.3,98,1,https://example.com/textiles/52,2025-02-27T20:41:46.990090,Alias at dolorum blanditiis quo sint repudiandae a sit iure amet maxime numquam libero ipsam.,77.9
P000053,Chemical Supplies,RoboMach Industrial Solvent S-034,RoboMach,"INR 40,500.0 per meter",40500.0,INR,meter,10,RoboMach (PLC),"Kolkata, West Bengal",3.9,18,1,https://example.com/chemical-supplies/53,2025-08-25T20:41:46.990130,Unde ipsa praesentium commodi voluptate non dolores culpa mollitia.,4050.0
P000054,Chemical Supplies,Nova Chemicals Industrial Solvent S-861,Nova Chemicals,"INR 36,830.0 per pack",36830.0,INR,pack,10,Nova Chemicals (and Sons),"Kolkata, West Bengal",3.3,31,1,https://example.com/chemical-supplies/54,2025-02-27T20:41:46.990177,Itaque blanditiis rerum libero quaerat magni earum rerum.,3683.0
P000055,Electronics,Mahadev Works Industrial Motor M-737,Mahadev Works,"INR 33,550.0 per meter",33550.0,INR,meter,10,Mahadev Works (PLC),"Surat, Gujarat",4.7,114,30,https://example.com/electronics/55,2025-03-14T20:41:46.990224,Fugit ullam magni sunt sint eius ratione impedit vel.,3355.0
P000056,Packaging,Mahadev Works Corrugated Box Single Wall,Mahadev Works,"INR 1,490.0 per meter",1490.0,INR,meter,500,Mahadev Works (PLC),"Pune, Maharashtra",4.6,107,7,https://example.com/packaging/56,2025-01-25T20:41:46.990254,Reprehenderit eligendi error nesciunt voluptatum laudantium corrupti molestiae exercitationem mollitia molestiae.,2.98
P000057,Chemical Supplies,Nova Chemicals Industrial Solvent S-753,Nova Chemicals,"INR 56,370.0 per kg",56370.0,INR,kg,1,Nova Chemicals (Ltd),"Bengaluru, Karnataka",3.7,40,30,https://example.com/chemical-supplies/57,2025-09-07T20:41:46.990302,Nemo doloremque quod aliquam quia provident repellat harum optio reprehenderit.,56370.0
P000058,Electronics,PrimeTextiles Industrial Motor M-270,PrimeTextiles,"INR 11,950.0 per set",11950.0,INR,set,5,PrimeTextiles (and Sons),"Delhi, Delhi",3.9,42,30,https://example.com/electronics/58,2025-02-22T20:41:46.990347,Vitae ex aut sapiente aut tenetur accusamus corporis sit voluptas asperiores quos eaque numquam.,2390.0
P000059,Chemical Supplies,Apex Engineering Industrial Solvent S-615,Apex Engineering,"INR 42,950.0 per meter",42950.0,INR,meter,5,Apex Engineering (Ltd),"Surat, Gujarat",4.9,2,30,https://example.com/chemical-supplies/59,2025-04-07T20:41:46.990393,Fugit et quaerat quis sit alias architecto occaecati ullam voluptatum quia inventore atque odio sit.,8590.0
P000060,Chemical Supplies,Apex Engineering Industrial Solvent S-724,Apex Engineering,"INR 188,660.0 per meter",188660.0,INR,meter,5,Apex Engineering (Inc),"Hyderabad, Telangana",4.2,94,30,https://example.com/chemical-supplies/60,2024-12-14T20:41:46.990434,Eveniet animi facere inventore doloribus illum placeat.,37732.0
P000061,Electronics,Mahadev Works Industrial Motor M-222,Mahadev Works,"INR 11,360.0 per meter",11360.0,INR,meter,50,Mahadev Works (Inc),"Mumbai, Maharashtra",3.9,85,14,https://example.com/electronics/61,2025-07-26T20:41:46.990475,Sit nulla dolores totam corporis itaque ducimus ducimus ab rem temporibus perspiciatis culpa ipsam exercitationem nesciunt.,227.2
P000062,Chemical Supplies,PrimeTextiles Industrial Solvent S-647,PrimeTextiles,"INR 196,180.0 per piece",196180.0,INR,piece,10,PrimeTextiles (LLC),"Hyderabad, Telangana",4.3,84,1,https://example.com/chemical-supplies/62,2025-09-06T20:41:46.990517,Voluptatum sequi autem fugit facere eos praesentium accusantium rerum id.,19618.0
P000063,Construction Equipment,Vijay Industries Product P-090,Vijay Industries,"INR 14,430.0 per set",14430.0,INR,set,10,Vijay Industries (PLC),"Mumbai, Maharashtra",3.7,41,3,https://example.com/construction-equipment/63,2025-02-28T20:41:46.990557,Rerum temporibus quod dolorem reiciendis dolor deleniti dolorum quidem quisquam perspiciatis consequatur atque occaecati.,1443.0
P000064,Textiles,Suresh Fabrics Cotton Fabric Printed,Suresh Fabrics,"INR 1,427.0 per kg",1427.0,INR,kg,500,Suresh Fabrics (Inc),"Delhi, Delhi",4.0,95,30,https://example.com/textiles/64,2025-09-22T20:41:46.990587,Ratione alias facilis consectetur tenetur eveniet impedit dicta ratione soluta facilis.,2.854
P000065,Textiles,Nova Chemicals Cotton Fabric Knitted,Nova Chemicals,INR 390.0 per piece,390.0,INR,piece,10,Nova Chemicals (PLC),"Bengaluru, Karnataka",3.6,2,30,https://example.com/textiles/65,2025-08-01T20:41:46.990621,Rerum ducimus repudiandae laboriosam rem quia excepturi beatae vitae consequuntur vitae.,39.0
P000066,Electronics,PrimeTextiles Industrial Motor M-685,PrimeTextiles,"INR 23,940.0 per pack",23940.0,INR,pack,1,PrimeTextiles (Inc),"Bengaluru, Karnataka",4.0,32,7,https://example.com/electronics/66,2025-07-25T20:41:46.990663,Accusamus modi iste perferendis perferendis nesciunt reprehenderit velit autem doloremque ad sunt natus.,23940.0
P000067,Packaging,RoboMach Corrugated Box Single Wall,RoboMach,"INR 1,558.0 per kg",1558.0,INR,kg,100,RoboMach (PLC),"Delhi, Delhi",4.2,118,7,https://example.com/packaging/67,2024-12-28T20:41:46.990694,Officia odio iure praesentium officiis blanditiis aliquid alias voluptatum blanditiis.,15.58
P000068,Construction Equipment,Vijay Industries Product P-382,Vijay Industries,"INR 40,270.0 per set",40270.0,INR,set,50,Vijay Industries (Group),"Delhi, Delhi",4.3,106,3,https://example.com/construction-equipment/68,2025-08-27T20:41:46.990734,Fuga veniam possimus molestiae nesciunt quas suscipit omnis rerum nulla vel eius porro dolor.,805.4
P000069,Construction Equipment,GigaElectro Product P-735,GigaElectro,"INR 85,180.0 per piece",85180.0,INR,piece,50,GigaElectro (Inc),"Surat, Gujarat",4.6,44,30,https://example.com/construction-equipment/69,2025-03-13T20:41:46.990778,Molestias voluptate facere id deleniti commodi sed iste optio odit nisi accusantium.,1703.6
P000070,Construction Equipment,Suresh Fabrics Product P-532,Suresh Fabrics,"INR 7,830.0 per kg",7830.0,INR,kg,50,Suresh Fabrics (PLC),"Mumbai, Maharashtra",4.7,105,14,https://example.com/construction-equipment/70,2025-08-25T20:41:46.990818,Architecto quisquam dignissimos dolor sit eveniet corporis tempore a similique.,156.6
P000071,Chemical Supplies,Suresh Fabrics Industrial Solvent S-228,Suresh Fabrics,"INR 127,850.0 per set",127850.0,INR,set,5,Suresh Fabrics (LLC),"Hyderabad, Telangana",3.5,66,7,https://example.com/chemical-supplies/71,2024-12-07T20:41:46.990859,Beatae sint consectetur facere ratione nihil accusamus eaque consectetur.,25570.0
P000072,Packaging,Mahadev Works Corrugated Box Double Wall,Mahadev Works,INR 877.0 per pack,877.0,INR,pack,1000,Mahadev Works (Group),"Pune, Maharashtra",3.8,31,1,https://example.com/packaging/72,2025-05-29T20:41:46.990894,Beatae aperiam ipsum facere nisi iste dolore nostrum quas tenetur omnis error officia adipisci voluptatum.,0.877
P000073,Chemical Supplies,Nova Chemicals Industrial Solvent S-661,Nova Chemicals,"INR 150,590.0 per pack",150590.0,INR,pack,10,Nova Chemicals (Group),"Hyderabad, Telangana",3.8,63,7,https://example.com/chemical-supplies/73,2025-07-17T20:41:46.990935,Asperiores aspernatur non aperiam eius odio molestias eveniet voluptatum minus iste non aut.,15059.0
P000074,Chemical Supplies,Nova Chemicals Industrial Solvent S-183,Nova Chemicals,"INR 72,260.0 per kg",72260.0,INR,kg,5,Nova Chemicals (Group),"Pune, Maharashtra",4.8,89,7,https://example.com/chemical-supplies/74,2025-01-07T20:41:46.990982,Suscipit impedit repudiandae id quas est est ducimus veritatis porro labore at assumenda inventore.,14452.0
P000075,Industrial Machinery,OmniPack Hydraulic Press Model 52Jd,OmniPack,"INR 476,600.0 per set",476600.0,INR,set,1,OmniPack (PLC),"Hyderabad, Telangana",4.1,97,3,https://example.com/industrial-machinery/75,2024-10-30T20:41:46.991033,Natus pariatur illum sit velit in totam amet enim est aut magni culpa laboriosam sed.,476600.0
P000076,Chemical Supplies,Mahadev Works Industrial Solvent S-585,Mahadev Works,"INR 90,740.0 per piece",90740.0,INR,piece,1,Mahadev Works (Inc),"Pune, Maharashtra",3.6,88,3,https://example.com/chemical-supplies/76,2025-05-15T20:41:46.991074,Nemo rem sapiente voluptate repellendus nostrum odit ad ut repudiandae eaque.,90740.0
P000077,Construction Equipment,RoboMach Product P-244,RoboMach,"INR 37,530.0 per pack",37530.0,INR,pack,50,RoboMach (LLC),"Ahmedabad, Gujarat",4.0,95,30,https://example.com/construction-equipment/77,2025-05-02T20:41:46.991114,Ab sit necessitatibus id consequuntur odio adipisci quia dolor in exercitationem fuga.,750.6
P000078,Textiles,Mahadev Works Cotton Fabric Printed,Mahadev Works,"INR 1,568.0 per piece",1568.0,INR,piece,50,Mahadev Works (Ltd),"Bengaluru, Karnataka",3.8,95,30,https://example.com/textiles/78,2024-10-30T20:41:46.991148,Quod necessitatibus assumenda amet culpa nulla perferendis earum optio laborum ipsam earum.,31.36
P000079,Electronics,Nova Chemicals Industrial Motor M-815,Nova Chemicals,"INR 11,210.0 per kg",11210.0,INR,kg,50,Nova Chemicals (Group),"Surat, Gujarat",5.0,67,30,https://example.com/electronics/79,2025-05-27T20:41:46.991189,Eligendi perspiciatis laborum pariatur aliquid hic nobis ab.,224.2
P000080,Industrial Machinery,Nova Chemicals Hydraulic Press Model 43Xi,Nova Chemicals,"INR 183,300.0 per set",183300.0,INR,set,1,Nova Chemicals (LLC),"Pune, Maharashtra",3.2,68,3,https://example.com/industrial-machinery/80,2025-05-31T20:41:46.991234,Eveniet ab quia cupiditate fugit provident magnam rerum rem asperiores similique.,183300.0
P000081,Industrial Machinery,Apex Engineering Hydraulic Press Model 06bD,Apex Engineering,"INR 299,000.0 per meter",299000.0,INR,meter,1,Apex Engineering (Inc),"Delhi, Delhi",4.8,73,7,https://example.com/industrial-machinery/81,2025-02-20T20:41:46.991280,Nemo nemo quae in beatae accusantium eveniet reiciendis nulla rerum ullam at.,299000.0
P000082,Chemical Supplies,Mahadev Works Industrial Solvent S-136,Mahadev Works,"INR 69,460.0 per kg",69460.0,INR,kg,1,Mahadev Works (PLC),"Kolkata, West Bengal",3.4,8,14,https://example.com/chemical-supplies/82,2025-02-09T20:41:46.991329,Minima id est excepturi ex cumque magni beatae magni temporibus expedita quas reprehenderit.,69460.0
